id;code;title;short_description;data;meta;created_date;language_id
1;unimpressively;even diamond;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-13;1
2;besides;uh-huh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-14;2
3;ack however unmask;duh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-14;3
4;rupture;that;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-14;4
5;acceptance;ew pish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-13;5
6;everlasting painfully;down hmph heartfelt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-14;6
7;as;anenst hello;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-13;7
8;weekly;sailing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-13;8
9;godmother audience;lower proportion;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-14;9
10;knowingly for ack;worrisome beside;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-04-13;10
