id;code;enabled;default_image;default_image_data;default_image_data_content_type;css_style;created_date
1;repeatedly;true;upbeat;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
2;why gracefully;true;abseil notwithstanding far;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
3;nor sans fooey;false;drat continually jade;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-14
4;oh when appropriate;false;worriedly;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-14
5;provided glacier;false;oh yuck;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
6;pro;true;meanwhile because;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
7;occasional;false;hastily;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
8;arrogantly;true;wiggly beside;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-14
9;less who;false;curly;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-13
10;gosh;false;because;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-04-14
