id;code;icon;default_image;default_image_data;default_image_data_content_type;created_date
1;yawl eek;tenant blubber;duh;../fake-data/blob/hipster.png;image/png;2024-04-13
2;waterlogged forenenst;deflect concerning romaine;gamebird brr yawningly;../fake-data/blob/hipster.png;image/png;2024-04-14
3;segment when;nor;even sputter;../fake-data/blob/hipster.png;image/png;2024-04-13
4;nightlife;seldom whether;quick because for;../fake-data/blob/hipster.png;image/png;2024-04-14
5;defeat deliberately;frightfully wrangle;hourly until;../fake-data/blob/hipster.png;image/png;2024-04-14
6;angina;yippee;quarterly;../fake-data/blob/hipster.png;image/png;2024-04-14
7;voluntarily yahoo into;weepy oof;beside detour;../fake-data/blob/hipster.png;image/png;2024-04-14
8;shipping;about with production;ew hidden urgently;../fake-data/blob/hipster.png;image/png;2024-04-14
9;uproot;repress trill;countryside meek;../fake-data/blob/hipster.png;image/png;2024-04-13
10;ptarmigan;wherever;nor basics gee;../fake-data/blob/hipster.png;image/png;2024-04-14
