id;code;enabled;icon;uri;default_image;default_image_data;default_image_data_content_type;created_date
1;evolve alongside thankfully;false;honestly puncture er;including;palate urgently cannibal;../fake-data/blob/hipster.png;image/png;2024-04-13
2;beggar via developing;false;hmph stutter;on ballpark;omelet officially;../fake-data/blob/hipster.png;image/png;2024-04-13
3;martyr reassuringly zany;false;painfully annual;flawless filthy outlying;throng notwithstanding versus;../fake-data/blob/hipster.png;image/png;2024-04-14
4;intervene fake;true;where;slither overstate;barring barometer;../fake-data/blob/hipster.png;image/png;2024-04-14
5;delineate unusual;true;honest kindly;afore;incidentally hospitable;../fake-data/blob/hipster.png;image/png;2024-04-13
6;ripe calmly daily;true;beyond ultimate hm;obfuscate authorized keenly;even fooey;../fake-data/blob/hipster.png;image/png;2024-04-13
7;snake predecease;true;phooey;pseudoscience gracious;lovingly tamp oh;../fake-data/blob/hipster.png;image/png;2024-04-14
8;clone imaginative;true;mountain causeway;mimosa delight;versus even;../fake-data/blob/hipster.png;image/png;2024-04-13
9;once gadzooks;false;until pootle despite;incidentally resettle;aside till;../fake-data/blob/hipster.png;image/png;2024-04-14
10;processor curry;false;square;achievement;secularise forenenst indolent;../fake-data/blob/hipster.png;image/png;2024-04-13
