id;code;enabled;icon;created_date;default_image;default_image_data;default_image_data_content_type
1;toward toe failing;true;boohoo;2024-04-13;where upbeat;../fake-data/blob/hipster.png;image/png
2;triumphantly hence;true;laptop strum sharply;2024-04-14;short-term outpace;../fake-data/blob/hipster.png;image/png
3;unlike;false;flood furthermore;2024-04-14;once hm traumatic;../fake-data/blob/hipster.png;image/png
4;for large;false;deliberately acclaimed oof;2024-04-13;ringworm notarise or;../fake-data/blob/hipster.png;image/png
5;plantation;true;mend at;2024-04-13;ah yahoo yum;../fake-data/blob/hipster.png;image/png
6;oh atop embossing;true;conceal fast verbally;2024-04-13;chop;../fake-data/blob/hipster.png;image/png
7;ease provided yuck;false;as drain ah;2024-04-13;once subsection;../fake-data/blob/hipster.png;image/png
8;elk;false;likewise enormously anxiously;2024-04-13;elegantly successfully after;../fake-data/blob/hipster.png;image/png
9;gee owl;false;curate crowded princess;2024-04-14;compassionate evenly;../fake-data/blob/hipster.png;image/png
10;mmm correct ultimately;true;quirkily overconfidently;2024-04-13;assure blissfully;../fake-data/blob/hipster.png;image/png
