id;code;enabled;discount;from_date;to_date
1;quixotic;false;13930.54;2024-04-13;2024-04-13
2;tale plus questionably;true;28879.36;2024-04-13;2024-04-13
3;while apologise;false;7871.77;2024-04-13;2024-04-13
4;consent;false;22688.32;2024-04-14;2024-04-13
5;grammar queasily;false;5498.74;2024-04-13;2024-04-13
6;pause because;true;10398.56;2024-04-14;2024-04-13
7;pfft;false;31456.03;2024-04-14;2024-04-14
8;pertain what;false;2035.24;2024-04-13;2024-04-13
9;woot failing whenever;false;16951.9;2024-04-13;2024-04-13
10;barring straight;false;5726.14;2024-04-13;2024-04-13
