id;code;enabled;kind;mode;icon;duration;duration_measure;pet_friendly;kids_allowed;smoking;available_from_date;available_to_date;initial_price;price;badge;rating;widget_id;external_id;created_date;default_image;default_image_data;default_image_data_content_type;accessibility;audio_guide;tour_guide;css_style;departure;return_time;test_in;test_z;dur
1;despite;false;ACTIVITY;OTHER;thankfully glossy;19711;HOURS;true;true;true;2024-04-14;2024-04-14;15584.71;24206.9;hm;9864;consequently;pish slowly wetly;2024-04-14;wrongly questionably lustrous;../fake-data/blob/hipster.png;image/png;true;false;true;../fake-data/blob/hipster.txt;2024-04-14;2024-04-14;2024-04-13T15:35:44;2024-04-13T18:08:12;8751
2;yahoo er critical;true;ACTIVITY;MOTOBUS;duckie shoestring ha;16748;MINUTES;true;true;true;2024-04-14;2024-04-13;26194.65;27737.25;ferociously yowza blindly;24341;before;drat depress;2024-04-14;vacate cwtch near;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-04-13;2024-04-13;2024-04-14T10:15:44;2024-04-14T11:29:12;11891
3;until however;false;ACTIVITY;CAR;feminine;21523;DAYS;false;true;true;2024-04-13;2024-04-14;7709.8;30252.5;crunch jaggedly stultify;10920;forearm deselect;rephrase;2024-04-14;playfully good;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-04-13;2024-04-14;2024-04-13T20:53:23;2024-04-14T04:45:40;29386
4;debrief oddly distant;true;OTHER;OTHER;boo rubbery sombrero;18379;HOURS;true;false;true;2024-04-13;2024-04-14;8581.34;30496.33;till gosh;10167;because;when killer;2024-04-14;daintily mortar angelic;../fake-data/blob/hipster.png;image/png;true;false;true;../fake-data/blob/hipster.txt;2024-04-14;2024-04-14;2024-04-14T03:40:30;2024-04-13T21:02:37;22482
5;labour lung;true;EVENT;BUS;braise;1109;DAYS;true;true;true;2024-04-14;2024-04-14;15776.24;31099.64;mortally repentant;7180;yowza um till;soldier since;2024-04-13;provided;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-04-13;2024-04-13;2024-04-14T09:59:32;2024-04-13T13:46:32;2847
6;throughout;false;EVENT;FEET;phooey quirky;4370;HOURS;true;true;true;2024-04-13;2024-04-14;15218.2;16856.34;why oh;16697;hug;thankfully;2024-04-14;bah incidentally because;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-04-14;2024-04-13;2024-04-13T16:53:59;2024-04-13T16:42:16;11593
7;suburban hollow;true;TOUR;OTHER;access;15558;HOURS;true;true;false;2024-04-14;2024-04-13;3354.13;6325.37;imbibe mmm wherever;19444;towards clog;wan yowza;2024-04-13;under tensely;../fake-data/blob/hipster.png;image/png;false;false;false;../fake-data/blob/hipster.txt;2024-04-14;2024-04-14;2024-04-13T22:57:59;2024-04-14T09:23:57;15994
8;barring left pro;false;TOUR;OTHER;neologism untidy;22246;HOURS;true;false;true;2024-04-14;2024-04-14;27199.21;22369.95;up despite shift;7780;abundance egg properly;into;2024-04-14;er ordinary um;../fake-data/blob/hipster.png;image/png;false;false;true;../fake-data/blob/hipster.txt;2024-04-14;2024-04-14;2024-04-14T00:21:29;2024-04-13T14:50:05;26341
9;brr;false;OTHER;MOTOBUS;apropos eek yuck;15014;MINUTES;false;true;true;2024-04-13;2024-04-13;10960.91;13285.01;holiday woot;15182;for ack;sequestrate excepting;2024-04-13;trifling canoe;../fake-data/blob/hipster.png;image/png;true;false;false;../fake-data/blob/hipster.txt;2024-04-13;2024-04-13;2024-04-13T17:59:29;2024-04-13T20:35:15;18594
10;boastfully ouch spiff;true;EVENT;FEET;overconfidently outside;10581;MINUTES;true;true;true;2024-04-14;2024-04-13;1795.26;26658.52;density;32486;bah subdued supposing;inasmuch;2024-04-14;ratepayer awe;../fake-data/blob/hipster.png;image/png;false;false;false;../fake-data/blob/hipster.txt;2024-04-14;2024-04-13;2024-04-13T22:12:37;2024-04-14T04:33:24;11038
