id;code;enabled;icon;created_date;default_image;default_image_data;default_image_data_content_type
1;till;false;nightgown officially expostulate;2024-04-13;ah serialize;../fake-data/blob/hipster.png;image/png
2;unwilling;false;spirited energetically briefly;2024-04-14;blanch off;../fake-data/blob/hipster.png;image/png
3;hm decisive but;false;inside tromp consequently;2024-04-14;kindhearted mindless;../fake-data/blob/hipster.png;image/png
4;ick um aha;true;properly;2024-04-14;exacerbate;../fake-data/blob/hipster.png;image/png
5;anenst perambulate;false;whoa heartfelt;2024-04-13;correspondent jumbo outbid;../fake-data/blob/hipster.png;image/png
6;pontificate cooked excepting;false;except;2024-04-14;thank laze psst;../fake-data/blob/hipster.png;image/png
7;boohoo tool barrel;true;noisily once each;2024-04-13;across eyelash poised;../fake-data/blob/hipster.png;image/png
8;prowl yum diligently;false;manoeuvre;2024-04-14;bravely toward husky;../fake-data/blob/hipster.png;image/png
9;fortunately teach;false;proponent;2024-04-14;development;../fake-data/blob/hipster.png;image/png
10;banana hold;false;polarisation unabashedly kooky;2024-04-14;aw embrace;../fake-data/blob/hipster.png;image/png
