id;code;enabled;icon;price;offer;shop_product_id;shop_url;created_date;default_image;default_image_data;default_image_data_content_type
1;down lightly yieldingly;false;yuck indeed;5934.44;14557.63;clamour;excitedly;2024-04-14;aside often;../fake-data/blob/hipster.png;image/png
2;as;true;fillet;20281.79;28092.75;hobbit;underneath;2024-04-14;haunt;../fake-data/blob/hipster.png;image/png
3;because;true;while absent skedaddle;3446.93;32270.15;phew;sterilise indeed;2024-04-14;so keenly hm;../fake-data/blob/hipster.png;image/png
4;runny above profession;true;meaningfully after;12510.61;13668.31;knowledgeably;as zany;2024-04-13;spread;../fake-data/blob/hipster.png;image/png
5;why;true;both flawed rubbish;25320.48;11005.12;bah cheerfully;psst schlep;2024-04-14;which sleepiness tooth;../fake-data/blob/hipster.png;image/png
6;beautifully beep carload;false;geez;20140.44;508.89;hearthside gosh and;hearken gram;2024-04-13;upsell inasmuch;../fake-data/blob/hipster.png;image/png
7;after;false;lift briskly;1749.02;5461.38;yippee;eek gyrate the;2024-04-14;usually;../fake-data/blob/hipster.png;image/png
8;rust than;false;opposite acidly neatly;16401.99;25151.4;shimmer;design despite serpentine;2024-04-14;yum unless although;../fake-data/blob/hipster.png;image/png
9;versify however;true;bat;11136.28;30254.58;mitigate prairie;propagate;2024-04-14;urgently whose gosh;../fake-data/blob/hipster.png;image/png
10;versus following phooey;false;meanwhile perky unnecessarily;13405.46;11451.72;pinstripe;meanwhile airline;2024-04-13;attack unaccountably above;../fake-data/blob/hipster.png;image/png
