id;code;enabled;icon;default_image;default_image_data;default_image_data_content_type;shop_category_id;shop_url;created_date
1;yet likewise;false;of;although;../fake-data/blob/hipster.png;image/png;jovially up;athwart joyously deceivingly;2024-04-14
2;briskly behind;true;because;trivial shackle;../fake-data/blob/hipster.png;image/png;notwithstanding successfully;upwardly mirror scared;2024-04-14
3;too;false;shabby although which;ache congeal grade;../fake-data/blob/hipster.png;image/png;medicate zowie;ew so brr;2024-04-14
4;zing taint till;false;or;cruelty;../fake-data/blob/hipster.png;image/png;closing hourly;fitting broadly rightfully;2024-04-13
5;wherever;false;excitable linear;fascinate overcooked;../fake-data/blob/hipster.png;image/png;ignorant;chromakey markup pro;2024-04-13
6;eddy;true;tremendously starchy;phew yahoo until;../fake-data/blob/hipster.png;image/png;so parachute;windage;2024-04-14
7;at incidentally;false;yearly frank aha;sow;../fake-data/blob/hipster.png;image/png;oh;swiftly since;2024-04-13
8;like thin;true;unto other jubilantly;uh-huh;../fake-data/blob/hipster.png;image/png;astride;geometry;2024-04-14
9;vastly while;false;patiently;joyously;../fake-data/blob/hipster.png;image/png;busily declassify until;dismay ouch;2024-04-13
10;despite alive plate;false;truth;conduct scared;../fake-data/blob/hipster.png;image/png;since anglicise;editing;2024-04-13
