id;code;enabled;icon;step_order;wait_time;wait_time_measure;drive_time;drive_time_measure;created_date;tour_id;place_id
1;after;true;freighter;25562;20651;HOURS;28040;HOURS;2024-04-13;1;1
2;hoarse hm scientific;false;red;13480;20880;HOURS;9049;MINUTES;2024-04-13;2;2
3;diligently;true;underneath;23725;24443;DAYS;5065;HOURS;2024-04-14;3;3
4;bruised yet picture;true;accordance;10636;6481;DAYS;30634;DAYS;2024-04-14;4;4
5;glut sweatshop;true;short nickel;11421;18261;HOURS;8547;MINUTES;2024-04-14;5;5
6;instead upon equally;false;lace;26853;29998;MINUTES;3485;HOURS;2024-04-13;6;6
7;ready;false;dimly;23630;5985;MINUTES;23548;HOURS;2024-04-14;7;7
8;mockingly;false;upload whenever;3784;3019;HOURS;29705;MINUTES;2024-04-14;8;8
9;geez flickering;true;follower;26851;15338;DAYS;2013;MINUTES;2024-04-14;9;9
10;whether woefully huzzah;false;livid infantile;17263;1114;DAYS;11438;MINUTES;2024-04-13;10;10
