id;code;enabled;uri_path;publish_date;created_date
1;share;true;cloakroom;2024-04-14;2024-04-14
2;honestly;false;rear where;2024-04-13;2024-04-14
3;especially within boohoo;true;brr unwritten lest;2024-04-14;2024-04-14
4;aching gadzooks per;false;whereas;2024-04-14;2024-04-13
5;gratefully;true;so;2024-04-13;2024-04-14
6;taste;false;and;2024-04-13;2024-04-13
7;valiantly bah;true;yippee why;2024-04-14;2024-04-13
8;despite;true;holler;2024-04-13;2024-04-13
9;electronics phooey following;true;wherever;2024-04-14;2024-04-13
10;phooey upon whereas;false;fast;2024-04-14;2024-04-14
